IdA	IdB	score	publications	detectionMethods	interactionTypes
P38111	P34217	0.43887317	pubmed:15024067	psi-mi:"MI:0424"(protein kinase assay)	psi-mi:"MI:0217"(phosphorylation reaction)
P38132	P24279	0.43887317	pubmed:12480933	psi-mi:"MI:0071"(molecular sieving)	psi-mi:"MI:0407"(direct interaction)
P38132	P30665	0.43887317	pubmed:12480933	psi-mi:"MI:0071"(molecular sieving)	psi-mi:"MI:0407"(direct interaction)
P29496	P24279	0.43887317	pubmed:12480933	psi-mi:"MI:0071"(molecular sieving)	psi-mi:"MI:0407"(direct interaction)
P30665	P53091	0.43887317	pubmed:12480933	psi-mi:"MI:0071"(molecular sieving)	psi-mi:"MI:0407"(direct interaction)
P14681	P06784	0.6230328	pubmed:8668180|pubmed:19303851|imex:IM-12170	psi-mi:"MI:0424"(protein kinase assay)	psi-mi:"MI:0217"(phosphorylation reaction)
P15873	P15873	0.56745154	pubmed:14681455|pubmed:8001157	psi-mi:"MI:0114"(x-ray crystallography)|psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P03965	P07258	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P43596	P38144	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
Q08773	P53125	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P15790	P43639	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P15790	P38930	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P43639	P19454	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P38930	P19454	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
Q12463	P53738	0.30991724	pubmed:14681455	psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
O13297	O13297	0.43887317	pubmed:10428848	psi-mi:"MI:0029"(cosedimentation through density gradient)	psi-mi:"MI:0407"(direct interaction)
P32916	P36057	0.56745154	pubmed:14681455|pubmed:12654246	psi-mi:"MI:0114"(x-ray crystallography)|psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
Q04868	P38874	0.43887317	pubmed:15138274	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)
P40961	P50085	0.56745154	pubmed:12237468|pubmed:14681455	psi-mi:"MI:0030"(cross-linking study)|psi-mi:"MI:0364"(inferred by curator)	psi-mi:"MI:0407"(direct interaction)
P38779	P40303	0.43887317	pubmed:11500370	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)
Q12306	P35187	0.43887317	pubmed:17081974|imex:IM-11993	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0195"(covalent binding)
P49334	P53220	0.43887317	pubmed:15797382	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0408"(disulfide bond)
P38779	P07834	0.43887317	pubmed:11500370	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)
P47137	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32897	P53220	0.43887317	pubmed:15797382	psi-mi:"MI:0030"(cross-linking study)	psi-mi:"MI:0407"(direct interaction)
P06738	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32419	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36060	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39683	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05775	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53982	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32347	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P30952	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10963	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00925	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P80210	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53759	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39015	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38998	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40892	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25561	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13550	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05979	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15202	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12298	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46655	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q01560	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12162	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23254	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38081	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06787	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P20095	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08686	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P41816	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08968	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q00453	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P16862	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00331	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P54005	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P31539	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13531	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P18634	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15274	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47029	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47066	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53051	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53244	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36141	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39940	P36140	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36069	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46984	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03919	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12472	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03446	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07748	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P34164	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53108	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P43534	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33296	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11154	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00817	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06508	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33399	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07549	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07622	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32381	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07505	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08444	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P20436	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40561	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39940	P28321	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P49367	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07953	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P07807	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q02831	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38758	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39940	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38295	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P27472	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P07170	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25044	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P17076	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53101	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q92392	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04336	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q6Q5H1	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P35202	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38720	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P42935	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40825	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04697	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q01454	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13528	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38158	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25039	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06440	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40959	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38009	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40217	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q10740	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53823	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
